"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	18547	1481130	1252.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	982	1452035	67.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	619	1436874	43.1
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	436	1444779	30.2
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	373	1461671	25.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	305	1465155	20.8
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	277	1459999	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	247	1462047	16.9
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	236	1458658	16.2
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	247	1491865	16.6
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	260	1582783	16.4
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	296	1592630	18.6
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	267	1640987	16.3
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	343	1675462	20.5
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	407	1694011	24.0
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	458	1719379	26.6
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	499	1713555	29.1
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	604	1676276	36.0
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	774	1656646	46.7
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	883	1608499	54.9
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	834	1545487	54.0
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	981	1515855	64.7
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	979	1476199	66.3
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	1040	1471149	70.7
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	1189	1463702	81.2
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	1195	1470885	81.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	1244	1431124	86.9
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	1346	1416374	95.0
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	1382	1355331	102.0
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	1417	1309771	108.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	1404	1312332	107.0
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	1539	1296019	118.7
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	1796	1326825	135.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	1866	1359896	137.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	2102	1386478	151.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	2258	1409456	160.2
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	2385	1412580	168.8
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	2602	1405780	185.1
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	2900	1397753	207.5
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	3295	1411297	233.5
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	3628	1442567	251.5
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	3974	1475046	269.4
