"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2014"	"2014"	3018	297735	1013.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2015"	"2015"	3092	300980	1027.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2016"	"2016"	3117	298919	1042.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2017"	"2017"	2970	296615	1001.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2018"	"2018"	2776	289594	958.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2014"	"2014"	154	300070	51.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2015"	"2015"	164	302044	54.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2016"	"2016"	166	302656	54.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2017"	"2017"	186	300827	61.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2018"	"2018"	161	294704	54.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2014"	"2014"	119	297939	39.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2015"	"2015"	104	298740	34.8
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2016"	"2016"	126	301419	41.8
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2017"	"2017"	115	302935	38.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2018"	"2018"	113	301602	37.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2014"	"2014"	75	300227	25.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2015"	"2015"	80	298489	26.8
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2016"	"2016"	71	299798	23.7
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2017"	"2017"	69	302393	22.8
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2018"	"2018"	68	303939	22.4
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2014"	"2014"	59	300093	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2015"	"2015"	60	300653	20.0
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2016"	"2016"	78	299517	26.0
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2017"	"2017"	80	300934	26.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2018"	"2018"	59	303533	19.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2014"	"2014"	45	302924	14.9
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2015"	"2015"	53	300929	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2016"	"2016"	69	301563	22.9
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2017"	"2017"	52	300647	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2018"	"2018"	37	302069	12.2
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2014"	"2014"	54	312942	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2015"	"2015"	46	303868	15.1
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2016"	"2016"	54	301740	17.9
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2017"	"2017"	53	302813	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2018"	"2018"	60	301778	19.9
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2014"	"2014"	34	311014	10.9
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2015"	"2015"	57	313872	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2016"	"2016"	57	304615	18.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2017"	"2017"	46	302847	15.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2018"	"2018"	55	303904	18.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2014"	"2014"	41	304301	13.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2015"	"2015"	42	311977	13.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2016"	"2016"	40	314711	12.7
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2017"	"2017"	45	305615	14.7
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2018"	"2018"	67	303879	22.0
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2014"	"2014"	45	298682	15.1
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2015"	"2015"	38	305368	12.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2016"	"2016"	57	312856	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2017"	"2017"	58	315673	18.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2018"	"2018"	60	306542	19.6
