"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	3824	280072	1365.4	1322.1	1408.6	22.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	3768	283794	1327.7	1285.3	1370.1	21.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	3626	296820	1221.6	1181.9	1261.4	20.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	3764	289527	1300.1	1258.5	1341.6	21.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	3558	283849	1253.5	1212.3	1294.7	21.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2004"	"2004"	3608	285612	1263.3	1222.0	1304.5	21.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2005"	"2005"	3670	286197	1282.3	1240.8	1323.8	21.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2006"	"2006"	3793	292848	1295.2	1254.0	1336.4	21.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2007"	"2007"	3835	307533	1247.0	1207.6	1286.5	20.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2008"	"2008"	3641	308940	1178.5	1140.3	1216.8	19.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	3445	303502	1135.1	1097.2	1173.0	19.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	3140	297421	1055.7	1018.8	1092.7	18.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	3094	300740	1028.8	992.5	1065.0	18.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	2973	297309	1000.0	964.0	1035.9	18.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	3083	296741	1039.0	1002.3	1075.6	18.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2014"	"2014"	3018	297735	1013.7	977.5	1049.8	18.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2015"	"2015"	3092	300980	1027.3	991.1	1063.5	18.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2016"	"2016"	3117	298919	1042.8	1006.1	1079.4	18.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2017"	"2017"	2970	296615	1001.3	965.3	1037.3	18.4
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2018"	"2018"	2776	289594	958.6	922.9	994.2	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2019"	"2019"	2888	284243	1016.0	979.0	1053.1	18.9
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2020 "	"2020"	2700	289028	934.2	898.9	969.4	18.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	214	284008	75.3	65.3	85.4	5.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	212	286737	73.9	64.0	83.9	5.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	217	286195	75.8	65.7	85.9	5.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	199	296024	67.2	57.9	76.6	4.8
