"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	3824	280072	1365.4
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	3768	283794	1327.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	3626	296820	1221.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	3764	289527	1300.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	3558	283849	1253.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2004"	"2004"	3608	285612	1263.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2005"	"2005"	3670	286197	1282.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2006"	"2006"	3793	292848	1295.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2007"	"2007"	3835	307533	1247.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2008"	"2008"	3641	308940	1178.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	3445	303502	1135.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	3140	297421	1055.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	3094	300740	1028.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	2973	297309	1000.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	3083	296741	1039.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2014"	"2014"	3018	297735	1013.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2015"	"2015"	3092	300980	1027.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2016"	"2016"	3117	298919	1042.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2017"	"2017"	2970	296615	1001.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2018"	"2018"	2776	289594	958.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2019"	"2019"	2888	284243	1016.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2020 "	"2020"	2700	289028	934.2
"Total"	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"			73383	6468019	1134.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	214	284008	75.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	212	286737	73.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	217	286195	75.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	199	296024	67.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	189	288700	65.5
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2004"	"2004"	209	283082	73.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2005"	"2005"	189	284927	66.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2006"	"2006"	196	285462	68.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2007"	"2007"	207	292000	70.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2008"	"2008"	181	306564	59.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	203	308004	65.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	191	301236	63.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	190	300095	63.3
