"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	3824	280072	1365.4
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	3768	283794	1327.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	3626	296820	1221.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	3764	289527	1300.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	3558	283849	1253.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	3608	285612	1263.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	3670	286197	1282.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	3793	292848	1295.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	3835	307533	1247.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	3641	308940	1178.5
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	3445	303502	1135.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	3140	297421	1055.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	3094	300740	1028.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	2973	297309	1000.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	3083	296741	1039.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	3018	297735	1013.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	3092	300980	1027.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	3117	298919	1042.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	2970	296615	1001.3
