,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Most_deaths
Heart Disease,72.79999999999998,74.19999999999999,73.89999999999998,74.29999999999998,72.10000000000002,67.0,63.5,56.70000000000002,56.5,51.599999999999994,49.29999999999998,46.599999999999994,41.5,40.69999999999999,41.80000000000001,38.5,34.30000000000001,39.10000000000002,34.400000000000006,36.29999999999998,33.900000000000006,49.20000000000002,52.190909090909095
Cancer,30.400000000000006,26.900000000000006,27.30000000000001,27.69999999999999,27.19999999999999,24.80000000000001,23.80000000000001,21.799999999999983,22.599999999999994,20.200000000000017,19.19999999999999,20.80000000000001,22.69999999999999,19.69999999999999,19.099999999999994,18.100000000000023,16.0,17.400000000000006,15.700000000000017,15.399999999999977,16.100000000000023,13.5,21.2
Assault,5.5,5.300000000000001,5.0,5.199999999999999,4.9,4.6,4.5,4.9,4.4,3.8,3.6000000000000005,3.4000000000000004,3.5,3.3999999999999995,3.3999999999999995,3.1999999999999997,3.3999999999999995,4.2,3.8000000000000003,4.6000000000000005,4.3999999999999995,6.0,4.318181818181818
Cerebrovascular Diseases,18.699999999999996,19.6,20.299999999999997,19.39999999999999,20.599999999999994,19.6,17.799999999999997,17.0,16.1,15.699999999999996,13.300000000000004,13.300000000000004,11.700000000000003,10.899999999999999,11.399999999999999,11.299999999999997,11.699999999999996,12.0,12.299999999999997,12.0,13.299999999999997,15.0,15.136363636363638
Diabetes,30.900000000000002,30.800000000000004,29.4,30.4,29.6,28.0,26.6,25.7,24.8,22.3,21.400000000000002,21.0,21.1,20.5,20.300000000000004,19.4,17.9,18.300000000000004,18.199999999999996,18.400000000000002,17.900000000000002,23.0,23.449999999999992
HIV,12.700000000000001,12.8,13.200000000000001,13.200000000000001,12.5,12.700000000000001,11.6,11.8,11.2,9.5,8.799999999999999,7.5,6.699999999999999,6.2,5.6000000000000005,5.3,5.0,4.6000000000000005,4.1000000000000005,3.6,3.4,3.5,8.43181818181818
Nephritis,16.2,16.5,17.200000000000003,16.3,16.799999999999997,16.6,17.0,17.299999999999997,16.6,16.200000000000003,16.5,15.5,13.6,13.1,12.6,12.5,12.799999999999999,12.999999999999998,12.8,12.3,12.0,13.3,14.85
Septicemia,12.899999999999999,13.3,12.0,12.6,12.1,11.500000000000002,11.7,11.100000000000001,11.100000000000001,10.8,10.0,9.200000000000001,8.600000000000001,8.0,7.5,6.9,7.0,7.299999999999999,6.300000000000001,6.6,5.800000000000001,6.5,9.490909090909092
Hypertension,10.200000000000001,10.4,10.100000000000001,10.6,10.6,11.400000000000002,10.7,10.6,9.5,10.0,9.3,9.400000000000002,8.200000000000001,7.8,7.699999999999999,7.4,7.8999999999999995,7.299999999999999,7.9,7.0,7.9,9.099999999999998,9.136363636363638
Conditions From Perinatal Period,7.4,6.9,6.2,6.799999999999999,6.5,6.8,6.699999999999999,7.0,6.199999999999999,5.8,5.700000000000001,5.0,4.9,4.6,5.199999999999999,4.9,5.0,4.9,4.8,4.5,5.0,4.2,5.6818181818181825
Influenza and Pneumonia,0.1999999999999993,0.3000000000000007,0.5,0.3000000000000007,-0.5,1.3000000000000007,0.6999999999999993,1.6000000000000014,1.3000000000000007,1.5,1.3999999999999986,1.200000000000001,1.200000000000001,1.0,0.40000000000000036,0.5,-0.20000000000000107,1.0,0.09999999999999964,0.5,0.6999999999999993,2.9000000000000004,0.8136363636363637
Pneumonitis due to solids and liquids,0.9000000000000004,0.5999999999999996,1.1000000000000005,0.39999999999999947,0.8999999999999995,0.2999999999999998,0.6000000000000005,0.0,0.0,0.3000000000000007,0.5000000000000004,-0.20000000000000018,-0.2999999999999998,-0.2999999999999998,-0.19999999999999973,0.09999999999999964,-0.30000000000000027,0.0,0.20000000000000018,0.2999999999999998,0.2999999999999998,0.30000000000000027,0.25
Accidents,0.6000000000000014,-0.8999999999999986,-1.0,-3.0,-3.5,-4.200000000000003,-3.6999999999999993,-5.200000000000003,-6.400000000000002,-8.2,-7.800000000000001,-9.2,-10.3,-10.7,-10.0,-10.5,-11.0,-10.2,-10.699999999999996,-8.799999999999997,-7.200000000000003,-3.8999999999999986,-6.627272727272726
Alzheimer's,-6.599999999999998,-6.499999999999998,-6.299999999999999,-7.199999999999999,-6.899999999999999,-4.699999999999999,-5.5,-5.699999999999999,-5.400000000000002,-7.0,-5.699999999999999,-6.899999999999999,-6.300000000000001,-6.200000000000003,-5.899999999999999,-5.399999999999999,-4.399999999999999,-5.4999999999999964,-5.699999999999999,-6.699999999999996,-5.800000000000001,-4.600000000000001,-5.950000000000002
Chronic Liver Disease and Cirrhosis,0.6000000000000005,0.5,-0.39999999999999947,-0.2999999999999998,-0.7000000000000002,-0.8999999999999995,-1.0,-1.2999999999999998,-1.4000000000000004,-1.7999999999999998,-1.7999999999999998,-1.9000000000000004,-1.8999999999999995,-2.3000000000000007,-2.0,-2.3000000000000007,-2.4000000000000004,-3.0999999999999996,-2.999999999999999,-3.200000000000001,-3.1999999999999993,-3.8000000000000007,-1.7090909090909088
Parkinson's,-2.2,-2.6999999999999997,-2.5,-2.8,-2.8000000000000003,-2.5,-2.8,-2.8,-2.5,-2.5999999999999996,-2.8000000000000003,-2.9,-2.9000000000000004,-2.9999999999999996,-2.9000000000000004,-2.6999999999999997,-2.9,-3.0,-3.0999999999999996,-3.1999999999999997,-3.3000000000000003,-3.3000000000000003,-2.8272727272727276
Chronic Lower Respiratory Diseases,-17.099999999999998,-17.6,-18.599999999999998,-18.4,-19.6,-18.799999999999997,-19.5,-18.5,-18.7,-19.900000000000002,-20.3,-19.599999999999998,-19.900000000000002,-19.700000000000003,-19.700000000000003,-18.7,-20.099999999999998,-18.699999999999996,-19.000000000000004,-17.1,-17.800000000000004,-13.599999999999998,-18.67727272727273
Suicide,-3.0,-2.9000000000000004,-3.0,-3.4999999999999996,-3.1999999999999997,-3.7,-3.4,-4.199999999999999,-4.1,-4.3,-4.199999999999999,-4.300000000000001,-4.800000000000001,-4.800000000000001,-5.1,-5.4,-5.699999999999999,-5.5,-5.1000000000000005,-5.1,-4.699999999999999,-4.0,-4.2727272727272725
