,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Most_deaths
Heart Disease,80.30000000000001,76.70000000000005,83.89999999999998,80.10000000000002,85.5,82.79999999999995,76.30000000000001,79.79999999999998,74.5,67.60000000000002,64.49999999999997,59.400000000000006,51.20000000000002,53.19999999999999,51.20000000000002,50.0,48.599999999999966,51.099999999999994,50.80000000000001,54.39999999999998,53.69999999999999,76.60000000000002,66.0090909090909
Cancer,99.9,97.10000000000002,92.09999999999997,86.69999999999999,81.6,79.5,74.20000000000002,69.40000000000003,69.69999999999999,61.69999999999999,59.20000000000002,58.50000000000003,51.79999999999998,48.30000000000001,45.400000000000006,39.80000000000001,36.69999999999999,35.900000000000006,33.20000000000002,32.0,31.0,28.400000000000006,59.640909090909105
Assault,31.400000000000002,32.8,31.699999999999996,33.900000000000006,34.699999999999996,32.9,35.5,36.1,35.2,32.300000000000004,30.300000000000004,29.8,29.6,31.299999999999997,30.1,29.099999999999998,34.0,36.5,36.7,34.1,36.5,49.6,33.82272727272728
Cerebrovascular Diseases,29.799999999999997,30.9,30.099999999999994,29.300000000000004,30.199999999999996,29.200000000000003,28.099999999999994,27.5,28.999999999999993,24.799999999999997,22.300000000000004,20.6,20.9,19.800000000000004,20.700000000000003,21.4,21.200000000000003,21.0,21.9,22.6,21.700000000000003,26.099999999999994,24.95909090909091
Diabetes,25.0,24.299999999999997,25.0,24.6,26.000000000000004,27.099999999999998,26.599999999999998,26.400000000000002,23.1,22.499999999999996,21.699999999999996,22.3,22.6,21.9,22.0,20.5,21.3,21.299999999999997,22.6,22.599999999999998,21.599999999999998,30.099999999999998,23.68636363636364
HIV,32.5,31.7,30.699999999999996,30.299999999999997,28.400000000000002,26.4,25.4,23.8,22.1,19.5,18.1,15.2,13.4,12.0,11.5,10.8,10.2,9.2,8.700000000000001,7.999999999999999,7.300000000000001,7.300000000000001,18.295454545454547
Nephritis,19.200000000000003,18.0,18.3,20.200000000000003,21.1,19.7,19.299999999999997,20.099999999999998,18.7,18.4,18.300000000000004,17.5,15.799999999999999,15.499999999999998,15.799999999999999,14.6,16.2,15.399999999999999,16.200000000000003,17.0,16.299999999999997,17.4,17.681818181818183
Septicemia,18.1,17.299999999999997,16.700000000000003,16.9,16.8,15.399999999999999,15.799999999999999,13.9,14.5,14.1,12.399999999999999,11.600000000000001,10.600000000000001,10.2,10.399999999999999,10.0,9.799999999999999,8.900000000000002,8.5,8.3,7.999999999999998,8.399999999999999,12.57272727272727
Hypertension,12.4,11.9,12.700000000000001,12.6,13.4,13.299999999999999,14.3,13.600000000000001,11.9,12.7,10.700000000000001,11.9,10.799999999999999,10.900000000000002,11.200000000000001,10.3,10.599999999999998,11.299999999999999,10.700000000000001,11.5,10.700000000000001,14.0,11.97272727272727
Conditions From Perinatal Period,9.2,8.7,8.0,7.799999999999999,8.2,8.2,8.399999999999999,8.2,7.7,7.300000000000001,7.3999999999999995,5.9,5.8,5.9,5.7,5.9,6.1000000000000005,6.000000000000001,6.1000000000000005,5.7,5.800000000000001,5.199999999999999,6.963636363636363
