,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Heart Disease,3078.2800000000007,2870.0805263157886,3010.067222222222,2911.242777777778,2790.2749999999996,2509.644210526316,2266.7045000000003,2653.243125,2416.0635294117646,2179.2894444444446,2117.675000000001,1995.4927777777775,1900.0277777777778,2097.3025000000002,1911.1022222222225,1885.7522222222224,1729.9999999999998,2145.0212500000002,2004.7293750000001,2064.3424999999997,1730.8794444444443,2275.25875
Cancer,1123.4876470588238,932.427777777778,1097.169375,1010.7352941176475,931.4388888888892,882.6144444444445,884.0747058823531,786.8633333333332,891.1647058823528,848.8568749999998,805.3117647058821,824.7164705882352,894.5623529411768,822.4452941176471,794.3947058823533,759.2588235294118,700.4129411764706,760.5694117647059,754.9506250000003,706.2464705882354,722.1841176470589,611.4117647058824
Assault,497.5128571428572,489.7633333333334,426.5307142857144,485.2171428571429,424.9015384615386,385.344375,326.7546666666667,337.9893333333333,347.3757142857143,353.92714285714277,362.90428571428555,329.98428571428565,335.35384615384606,249.75,309.9471428571429,270.53357142857146,332.7257142857143,326.50200000000007,300.7105882352942,270.08294117647057,359.1526666666667,351.84499999999997
Cerebrovascular Diseases,1144.6883333333333,1116.8325,1058.6446153846152,1107.595,1037.693076923077,1091.7225,974.433333333333,935.1533333333333,892.0949999999999,889.2599999999999,800.0791666666668,761.536923076923,736.1308333333333,676.3633333333332,775.4672727272726,694.835,726.4958333333334,718.7958333333332,743.7225,716.2058333333333,749.3591666666666,788.7366666666667
Diabetes,1433.8925000000002,1301.1923076923076,1334.2,1358.8425,1350.5058333333334,1184.3176923076924,1099.3084615384616,1172.121666666667,1050.7969230769231,1014.8516666666668,971.7691666666666,891.7523076923076,979.4216666666666,865.9446153846153,872.2438461538463,838.91,840.9966666666668,791.3838461538461,782.8930769230769,809.7453846153846,794.8346153846155,978.5907692307693
HIV,1064.077142857143,1085.792857142857,982.56625,1102.5742857142857,1097.7499999999998,1117.3933333333332,870.84,1046.61,884.8971428571429,816.5383333333334,695.6785714285714,601.0385714285713,526.85,520.115,449.93333333333334,426.8983333333333,370.9114285714286,350.7285714285714,337.63166666666666,281.96666666666664,256.19166666666666,263.21000000000004
Nephritis,702.2592307692307,796.9233333333333,809.3016666666667,698.4984615384617,785.7175000000001,796.5333333333333,725.09,815.9645454545455,790.1509090909091,712.2361538461539,816.8927272727273,768.2827272727274,683.040909090909,649.1609090909092,642.5254545454546,653.6490909090909,639.6672727272727,669.8090909090909,667.7945454545454,629.4509090909091,613.3599999999998,663.1881818181819
Septicemia,598.3221428571427,676.086923076923,662.1084615384615,527.1546153846155,528.4123076923076,585.5330769230769,541.8207692307692,561.1978571428572,510.3661538461538,542.5385714285715,457.9999999999999,474.26499999999993,353.97357142857146,399.905,347.0376923076923,340.6041666666667,329.2053846153846,367.41692307692307,311.923076923077,324.88615384615383,300.63090909090914,294.4341666666667
Hypertension,561.9922222222222,571.0433333333333,556.3733333333334,570.7333333333333,600.6288888888889,606.6255555555555,557.0177777777777,552.6211111111111,503.09000000000003,554.5477777777778,514.5577777777778,459.77699999999993,398.36199999999997,448.56888888888886,446.6744444444445,426.9800000000001,438.01000000000005,438.7611111111111,417.311,397.063,466.3611111111111,480.329
Conditions From Perinatal Period,42362.98000000001,39744.0,35336.12000000001,39290.79,37554.84000000001,39688.96,39219.12000000001,40453.139999999985,35866.99999999999,34087.68000000001,32772.509999999995,29260.879999999994,28506.649999999994,26763.52,30035.88,28444.360000000008,28706.4,28965.6,27191.699999999997,25984.44,29259.870000000003,24469.020000000004
