,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Heart Disease,2893.3357894736832,2797.451052631578,2937.4242105263165,3239.6105882352936,3045.864210526315,2804.977368421052,3150.7835294117644,2827.0878947368415,2872.3227777777774,2575.3810526315788,2534.7247368421054,2364.5000000000005,2316.9844444444443,2391.228888888889,2342.021666666666,2195.087368421053,2304.150555555556,2368.1994444444445,2390.693888888889,2819.5081249999994,2766.0825,2950.751666666667
Cancer,2783.305555555555,2738.730555555556,2580.1577777777766,2430.2911111111116,2284.997222222222,2244.3705555555553,2071.323888888889,1972.4155555555558,1911.977777777778,1785.9555555555553,1797.4327777777776,1875.9341176470587,1602.5716666666667,1644.8911764705883,1482.4538888888887,1420.0329411764706,1310.2494117647057,1302.0694117647058,1267.9564705882349,1198.6935294117648,1089.913333333333,1023.9370588235295
Assault,1354.4115789473685,1525.2094444444442,1500.1883333333335,1470.7852631578946,1517.9868421052633,1419.9242105263154,1521.6815789473683,1600.4505263157894,1547.605263157895,1573.7547058823532,1418.6544444444448,1349.6466666666668,1377.533888888889,1523.2576470588237,1462.08,1235.0705263157897,1508.0461111111113,1531.227368421053,1663.3627777777776,1523.4383333333333,1654.6116666666667,2054.1789473684207
Cerebrovascular Diseases,1430.2183333333332,1484.1658333333332,1350.8338461538465,1396.5258333333334,1412.823333333333,1306.8853846153845,1179.5871428571427,1246.6261538461538,1375.3991666666664,1197.0283333333334,1048.8223076923075,1096.625,987.2223076923078,1028.6433333333332,984.6600000000001,1002.4399999999999,1105.2641666666666,995.6838461538462,1027.4176923076923,1111.4891666666665,1080.7391666666667,1316.4672727272728
Diabetes,1027.0191666666667,955.66,1001.8484615384615,1000.2353846153845,1105.6566666666665,1117.8591666666666,1030.9723076923076,1017.9446153846154,998.3833333333332,903.5969230769231,873.5553846153846,898.5038461538461,966.265,1006.6158333333333,896.6000000000001,839.6646153846153,878.4753846153845,885.9115384615385,923.7846153846156,927.4561538461537,912.7553846153847,1194.0938461538462
HIV,1798.3530000000005,1611.5754545454547,1696.506,1664.8659999999995,1568.8890000000001,1352.4954545454543,1298.0172727272727,1208.608181818182,1136.570909090909,1006.1490909090909,936.6445454545454,786.9927272727273,716.499,624.7881818181818,602.1118181818182,576.641,533.7518181818183,487.6563636363635,435.7627272727272,394.31249999999994,389.0081818181818,373.77090909090913
Nephritis,782.9083333333333,799.4725,791.9583333333331,759.0384615384614,892.4041666666667,844.5783333333333,778.3669230769231,841.4941666666667,728.5238461538461,819.1108333333333,872.3218181818182,841.360909090909,752.5445454545454,753.2100000000002,761.9981818181819,652.7366666666666,767.1254545454547,750.9418181818182,723.5075,815.3163636363638,715.1574999999999,824.2763636363635
Septicemia,796.8069230769231,680.8978571428571,761.0107692307694,709.2876923076923,742.7314285714284,656.9816666666667,677.8607142857145,668.28,679.5107692307691,557.7061538461538,495.84923076923076,490.48153846153855,479.57333333333344,480.7141666666667,451.0608333333333,425.6530769230769,421.8253846153847,455.58642857142866,385.2053846153846,376.40846153846155,395.0358333333333,380.2558333333334
Hypertension,549.409,538.149,573.8,604.6666666666666,595.782,623.284,636.4260000000002,615.1139999999999,546.6600000000001,591.3519999999999,505.66700000000003,552.132,525.5640000000001,536.277,568.4530000000001,524.1099999999999,529.421,560.919,514.619,519.4418181818181,524.0959999999999,627.5754545454546
Conditions From Perinatal Period,60840.02999999998,58336.520000000004,53902.5,42191.179999999986,44667.96000000001,44685.71000000001,45632.08,56116.41,42137.22,40037.25000000001,40492.40999999999,32447.080000000005,32057.440000000002,32061.149999999998,30936.6,32260.050000000003,32923.450000000004,33017.46000000001,33362.23999999998,6598.92,31725.54,27630.0
