year,gender,age_cat,life_expectancy
2020,Female,0,80.2
2020,Female,1,79.5
2020,Female,5,75.59999999999999
2020,Female,10,70.59999999999999
2020,Female,15,65.59999999999999
2020,Female,20,60.7
2020,Female,25,55.9
2020,Female,30,51.1
2020,Female,35,46.4
2020,Female,40,41.7
2020,Female,45,37.1
2020,Female,50,32.6
2020,Female,55,28.2
2020,Female,60,24
2020,Female,65,20
2020,Female,70,16.1
2020,Female,75,12.5
2020,Female,80,9.300000000000001
2020,Female,85,6.6
2020,Male,0,75
2020,Male,1,74.3
2020,Male,5,70.40000000000001
2020,Male,10,65.5
2020,Male,15,60.5
2020,Male,20,55.7
2020,Male,25,51.1
2020,Male,30,46.5
2020,Male,35,42.1
2020,Male,40,37.6
2020,Male,45,33.3
2020,Male,50,29
2020,Male,55,24.9
2020,Male,60,21.1
2020,Male,65,17.5
2020,Male,70,14.1
2020,Male,75,10.9
2020,Male,80,8.199999999999999
2020,Male,85,5.9
2019,Female,0,81.3
2019,Female,1,80.59999999999999
2019,Female,5,76.59999999999999
2019,Female,10,71.7
2019,Female,15,66.7
2019,Female,20,61.8
2019,Female,25,56.9
2019,Female,30,52.1
2019,Female,35,47.4
2019,Female,40,42.7
2019,Female,45,38
2019,Female,50,33.5
2019,Female,55,29
2019,Female,60,24.8
2019,Female,65,20.7
2019,Female,70,16.7
2019,Female,75,13.1
2019,Female,80,9.800000000000001
2019,Female,85,7.1
2019,Male,0,76.3
2019,Male,1,75.7
2019,Male,5,71.8
2019,Male,10,66.8
2019,Male,15,61.9
2019,Male,20,57.1
2019,Male,25,52.4
2019,Male,30,47.8
2019,Male,35,43.2
2019,Male,40,38.7
2019,Male,45,34.3
2019,Male,50,29.9
2019,Male,55,25.7
2019,Male,60,21.8
2019,Male,65,18.1
2019,Male,70,14.6
2019,Male,75,11.3
2019,Male,80,8.4
2019,Male,85,6
2018,Female,0,81.09999999999999
2018,Female,1,80.40000000000001
2018,Female,5,76.5
2018,Female,10,71.5
2018,Female,15,66.59999999999999
2018,Female,20,61.6
2018,Female,25,56.8
2018,Female,30,52
2018,Female,35,47.3
2018,Female,40,42.6
2018,Female,45,37.9
2018,Female,50,33.3
2018,Female,55,28.9
2018,Female,60,24.7
2018,Female,65,20.6
2018,Female,70,16.6
2018,Female,75,13
2018,Female,80,9.699999999999999
2018,Female,85,6.9
2018,Male,0,76.2
2018,Male,1,75.59999999999999
2018,Male,5,71.7
2018,Male,10,66.7
2018,Male,15,61.8
2018,Male,20,57
2018,Male,25,52.3
2018,Male,30,47.7
2018,Male,35,43.2
2018,Male,40,38.7
2018,Male,45,34.2
2018,Male,50,29.8
2018,Male,55,25.7
2018,Male,60,21.7
2018,Male,65,18.1
2018,Male,70,14.5
2018,Male,75,11.3
2018,Male,80,8.4
2018,Male,85,5.9
2017,Female,0,81
2017,Female,1,80.3
2017,Female,5,76.40000000000001
2017,Female,10,71.40000000000001
2017,Female,15,66.40000000000001
2017,Female,20,61.5
2017,Female,25,56.7
2017,Female,30,51.9
2017,Female,35,47.2
2017,Female,40,42.5
2017,Female,45,37.8
2017,Female,50,33.3
2017,Female,55,28.8
2017,Female,60,24.6
2017,Female,65,20.5
2017,Female,70,16.6
2017,Female,75,12.9
2017,Female,80,9.699999999999999
2017,Female,85,6.9
2017,Male,0,76.09999999999999
2017,Male,1,75.5
2017,Male,5,71.59999999999999
2017,Male,10,66.59999999999999
2017,Male,15,61.7
2017,Male,20,56.9
2017,Male,25,52.2
2017,Male,30,47.7
2017,Male,35,43.2
2017,Male,40,38.6
2017,Male,45,34.2
2017,Male,50,29.8
2017,Male,55,25.6
2017,Male,60,21.7
2017,Male,65,18
2017,Male,70,14.5
2017,Male,75,11.2
2017,Male,80,8.300000000000001
2017,Male,85,5.9
2016,Female,0,81
2016,Female,1,80.40000000000001
2016,Female,5,76.5
2016,Female,10,71.5
2016,Female,15,66.5
2016,Female,20,61.6
2016,Female,25,56.8
2016,Female,30,52
2016,Female,35,47.2
2016,Female,40,42.5
2016,Female,45,37.9
2016,Female,50,33.3
2016,Female,55,28.9
2016,Female,60,24.7
2016,Female,65,20.5
2016,Female,70,16.6
2016,Female,75,13
2016,Female,80,9.800000000000001
2016,Female,85,7
2016,Male,0,76.2
2016,Male,1,75.59999999999999
2016,Male,5,71.59999999999999
2016,Male,10,66.7
2016,Male,15,61.7
2016,Male,20,56.9
2016,Male,25,52.3
2016,Male,30,47.7
2016,Male,35,43.2
2016,Male,40,38.7
2016,Male,45,34.2
2016,Male,50,29.8
2016,Male,55,25.7
2016,Male,60,21.8
2016,Male,65,18
2016,Male,70,14.5
2016,Male,75,11.3
2016,Male,80,8.4
2016,Male,85,5.9
2015,Female,0,81
2015,Female,1,80.40000000000001
2015,Female,5,76.40000000000001
2015,Female,10,71.5
2015,Female,15,66.5
2015,Female,20,61.6
2015,Female,25,56.7
2015,Female,30,51.9
2015,Female,35,47.2
