"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Black or African American"	"2054-5"	"Female"	"F"	"Alabama"	"01"	124821	14725096	847.7	880.1	875.2	885.1
	"Black or African American"	"2054-5"	"Female"	"F"	"Alaska"	"02"	928	289006	321.1	624.3	580.5	668.2
	"Black or African American"	"2054-5"	"Female"	"F"	"Arizona"	"04"	14626	2767890	528.4	739.0	726.6	751.4
	"Black or African American"	"2054-5"	"Female"	"F"	"Arkansas"	"05"	43001	5257734	817.9	903.3	894.7	911.9
	"Black or African American"	"2054-5"	"Female"	"F"	"California"	"06"	201944	26509638	761.8	799.2	795.7	802.8
	"Black or African American"	"2054-5"	"Female"	"F"	"Colorado"	"08"	12024	2259917	532.1	724.9	711.6	738.2
	"Black or African American"	"2054-5"	"Female"	"F"	"Connecticut"	"09"	23544	4090065	575.6	667.0	658.4	675.6
	"Black or African American"	"2054-5"	"Female"	"F"	"Delaware"	"10"	14431	2216194	651.2	754.6	742.1	767.1
	"Black or African American"	"2054-5"	"Female"	"F"	"District of Columbia"	"11"	44052	3885384	1133.8	887.1	878.6	895.6
	"Black or African American"	"2054-5"	"Female"	"F"	"Florida"	"12"	208829	33531782	622.8	734.0	730.8	737.2
	"Black or African American"	"2054-5"	"Female"	"F"	"Georgia"	"13"	218253	34174649	638.6	806.5	803.0	810.0
	"Black or African American"	"2054-5"	"Female"	"F"	"Hawaii"	"15"	603	295650	204.0	463.0	421.5	504.6
	"Black or African American"	"2054-5"	"Female"	"F"	"Idaho"	"16"	241	120794	199.5	519.1	443.3	594.8
	"Black or African American"	"2054-5"	"Female"	"F"	"Illinois"	"17"	174000	22003695	790.8	839.6	835.6	843.6
	"Black or African American"	"2054-5"	"Female"	"F"	"Indiana"	"18"	49971	6997436	714.1	856.9	849.3	864.5
	"Black or African American"	"2054-5"	"Female"	"F"	"Iowa"	"19"	5014	1065475	470.6	852.3	827.6	877.1
	"Black or African American"	"2054-5"	"Female"	"F"	"Kansas"	"20"	13927	1939883	717.9	884.5	869.6	899.4
	"Black or African American"	"2054-5"	"Female"	"F"	"Kentucky"	"21"	30341	3923904	773.2	866.4	856.5	876.2
	"Black or African American"	"2054-5"	"Female"	"F"	"Louisiana"	"22"	137061	17152796	799.1	905.2	900.4	910.1
	"Black or African American"	"2054-5"	"Female"	"F"	"Maine"	"23"	354	174104	203.3	418.2	370.4	465.9
	"Black or African American"	"2054-5"	"Female"	"F"	"Maryland"	"24"	135575	20064815	675.7	750.6	746.5	754.7
	"Black or African American"	"2054-5"	"Female"	"F"	"Massachusetts"	"25"	26078	5073344	514.0	620.5	612.9	628.1
	"Black or African American"	"2054-5"	"Female"	"F"	"Michigan"	"26"	137172	16802440	816.4	872.0	867.3	876.6
	"Black or African American"	"2054-5"	"Female"	"F"	"Minnesota"	"27"	10201	3207891	318.0	671.8	657.3	686.3
	"Black or African American"	"2054-5"	"Female"	"F"	"Mississippi"	"28"	103051	12741735	808.8	908.2	902.6	913.8
	"Black or African American"	"2054-5"	"Female"	"F"	"Missouri"	"29"	63472	8209779	773.1	862.9	856.1	869.7
	"Black or African American"	"2054-5"	"Female"	"F"	"Montana"	"30"	158	60981	259.1	576.5	479.3	673.8
	"Black or African American"	"2054-5"	"Female"	"F"	"Nebraska"	"31"	5699	977688	582.9	866.9	843.8	890.1
	"Black or African American"	"2054-5"	"Female"	"F"	"Nevada"	"32"	15590	2490186	626.1	797.3	784.4	810.3
	"Black or African American"	"2054-5"	"Female"	"F"	"New Hampshire"	"33"	401	167855	238.9	441.1	394.4	487.7
	"Black or African American"	"2054-5"	"Female"	"F"	"New Jersey"	"34"	104915	13678266	767.0	802.1	797.2	807.0
	"Black or African American"	"2054-5"	"Female"	"F"	"New Mexico"	"35"	2654	410276	646.9	721.3	693.6	749.0
	"Black or African American"	"2054-5"	"Female"	"F"	"New York"	"36"	243865	34783210	701.1	681.7	679.0	684.5
	"Black or African American"	"2054-5"	"Female"	"F"	"North Carolina"	"37"	185320	23963649	773.3	803.6	799.9	807.3
	"Black or African American"	"2054-5"	"Female"	"F"	"North Dakota"	"38"	165	122424	134.8	393.7	310.5	476.9
	"Black or African American"	"2054-5"	"Female"	"F"	"Ohio"	"39"	136042	16862946	806.8	851.7	847.2	856.3
	"Black or African American"	"2054-5"	"Female"	"F"	"Oklahoma"	"40"	24993	3371721	741.3	926.7	915.1	938.4
	"Black or African American"	"2054-5"	"Female"	"F"	"Oregon"	"41"	4208	859035	489.9	722.7	700.3	745.0
	"Black or African American"	"2054-5"	"Female"	"F"	"Pennsylvania"	"42"	133509	15803735	844.8	849.4	844.8	854.0
	"Black or African American"	"2054-5"	"Female"	"F"	"Rhode Island"	"44"	3137	695758	450.9	599.6	578.3	620.9
	"Black or African American"	"2054-5"	"Female"	"F"	"South Carolina"	"45"	121501	15166082	801.1	829.5	824.8	834.2
	"Black or African American"	"2054-5"	"Female"	"F"	"South Dakota"	"46"	202	126699	159.4	311.7	261.9	361.4
	"Black or African American"	"2054-5"	"Female"	"F"	"Tennessee"	"47"	95140	12443743	764.6	891.5	885.8	897.3
	"Black or African American"	"2054-5"	"Female"	"F"	"Texas"	"48"	227969	33841453	673.6	836.8	833.3	840.3
	"Black or African American"	"2054-5"	"Female"	"F"	"Utah"	"49"	985	317126	310.6	721.0	672.4	769.7
	"Black or African American"	"2054-5"	"Female"	"F"	"Vermont"	"50"	192	73231	262.2	528.4	445.7	611.2
	"Black or African American"	"2054-5"	"Female"	"F"	"Virginia"	"51"	134209	18033613	744.2	782.1	777.9	786.3
	"Black or African American"	"2054-5"	"Female"	"F"	"Washington"	"53"	12985	2954418	439.5	702.7	690.1	715.4
	"Black or African American"	"2054-5"	"Female"	"F"	"West Virginia"	"54"	7142	705689	1012.1	897.8	876.6	918.9
	"Black or African American"	"2054-5"	"Female"	"F"	"Wisconsin"	"55"	23758	4123165	576.2	883.3	871.5	895.0
