"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	73383	6468019	1134.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	4123	6484280	63.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	2607	6483454	40.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	1831	6491545	28.2
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	1563	6550517	23.9
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	1285	6588071	19.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	1203	6610746	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	1125	6662033	16.9
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	1038	6703958	15.5
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	1155	6784849	17.0
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	1111	6932526	16.0
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	1223	6917926	17.7
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	1212	6954446	17.4
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	1309	6949362	18.8
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	1502	6940319	21.6
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	1738	6971091	24.9
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	2024	7007971	28.9
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	2512	7018371	35.8
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	3294	7071318	46.6
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	3654	7119640	51.3
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	4067	7058844	57.6
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	4531	7008062	64.7
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	4590	6925219	66.3
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	4967	6853336	72.5
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	5115	6792091	75.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	5494	6761957	81.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	5760	6667215	86.4
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	6111	6636318	92.1
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	6398	6538169	97.9
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	6844	6460229	105.9
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	7055	6425631	109.8
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	7417	6304434	117.6
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	8291	6288085	131.9
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	8886	6249560	142.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	9407	6258151	150.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	10246	6290167	162.9
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	10942	6281058	174.2
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	11846	6299197	188.1
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	12909	6289735	205.2
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	14137	6310979	224.0
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	15175	6321201	240.1
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	16481	6287729	262.1
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	18051	6295100	286.7
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	19598	6294209	311.4
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	20750	6256881	331.6
